Date, GDP (Billions of US $), Per Capita (US $)
12/31/1960,0.004384474,
12/31/1961,0.004441787,
12/31/1962,0.006218502,
12/31/1963,0.006103875,
12/31/1964,0.005724174,
12/31/1965,0.006483576,0.7387
12/31/1966,0.006591039,0.7091
12/31/1967,0.006777307,0.6943
12/31/1968,0.006619696,0.6556
12/31/1969,0.007508053,0.7155
12/31/1970,0.007135516,0.6298
12/31/1971,0.008516584,0.718
12/31/1972,0.011140612,0.8816
12/31/1973,0.012475644,0.865
12/31/1974,0.01335032,0.8014
12/31/1975,0.0156521,0.8307
12/31/1976,0.020531872,0.8818
12/31/1977,0.0285881,0.9718
12/31/1978,0.034987046,1.1185
12/31/1979,0.054644242,1.5777
12/31/1980,0.062055972,1.7363
12/31/1981,0.078352569,2.2795
12/31/1982,0.094372954,2.7763
12/31/1983,0.124526263,3.5514
12/31/1984,0.235932384,6.4433
12/31/1985,0.250433594,6.5897
12/31/1986,0.163311246,4.33
12/31/1987,0.176891744,4.4692
12/31/1988,0.178963345,4.2713
12/31/1989,0.21302968,4.8723
12/31/1990,0.16388669,3.4137
12/31/1991,0.145127189,2.7326
12/31/1992,0.134193737,2.2536
12/31/1993,0.116470036,1.6787
12/31/1994,0.10933452,1.3522
12/31/1995,0.111636299,1.1751
12/31/1996,0.110830676,1.0744
12/31/1997,0.112211744,1.0078
12/31/1998,0.110830676,0.9229
12/31/1999,0.114743701,0.9205
12/31/2000,0.11037032,0.8403
12/31/2001,0.150651459,1.0907
12/31/2002,0.1617,1.1302
12/31/2003,0.1266,0.8414
12/31/2004,0.128,0.8102
12/31/2005,0.1329,0.9042
12/31/2006,0.1421,0.8881
12/31/2007,0.1656,0.9734
12/31/2008,0.173,0.9618
12/31/2009,0.1899,1.0789
12/31/2010,0.201,1.0896
12/31/2011,0.2207,1.0881
12/31/2012,0.2243,1.0488
12/31/2013,0.2375,1.08
12/31/2014,0.2339,1.0353
12/31/2015,0.2477,1.0568
12/31/2016,0.2476,1.0235
12/31/2017,0.2609,1.0445
12/31/2018,0.29461,1.1322
12/31/2019,0.3172,1.18
12/31/2020,0.3439,1.4001
12/31/2021,0.351578,1.2234
12/31/2022,0.42238,1.3204
